team1,powerplay_runs_team1,powerplay_wickets_team1,team2,powerplay_runs_team2,powerplay_wickets_team2,venue,pitch_type,homeground_advantage,team1_toss_win,teampoint_diff,team1_win
11,25,4,2,41,2,4,1,2,0,-100,1
1,58,0,9,26,2,12,1,1,1,374,1
4,39,0,3,32,4,24,2,2,1,-536,1
12,36,1,11,33,1,3,1,2,1,-609,0
6,47,1,4,27,1,18,1,1,1,278,0
1,31,2,7,48,0,2,1,2,0,161,0
9,24,2,3,60,0,24,2,2,1,-380,0
2,48,0,12,55,2,17,1,2,0,709,0
1,55,0,4,58,1,32,-2,2,1,530,0
7,62,0,2,43,4,2,1,1,0,0,1
12,53,0,3,21,3,22,1,1,0,-876,1
6,61,1,9,42,1,18,1,1,1,122,0
11,40,3,4,58,0,32,-2,2,1,269,0
12,45,0,6,45,2,18,1,2,1,-618,0
11,29,5,1,30,1,12,1,2,1,-261,0
9,52,1,7,35,1,1,2,1,1,-213,1
4,67,0,6,63,2,32,-2,1,0,-278,1
3,37,1,2,43,0,9,2,0,0,167,1
7,55,1,1,45,1,12,1,2,0,-161,0
9,36,1,12,55,2,1,2,1,1,496,1
4,29,2,2,46,4,4,1,1,1,-369,1
9,41,2,11,36,1,3,1,2,1,-113,0
6,37,3,3,34,2,9,2,0,1,-258,0
4,36,1,12,36,2,32,-2,1,1,340,1
7,30,0,2,39,1,4,1,2,1,0,1
1,34,2,6,48,1,18,1,2,1,252,0
3,26,1,11,41,2,3,1,2,1,267,0
7,31,1,12,46,1,2,1,1,0,709,0
9,32,0,4,32,4,1,2,1,1,156,1
2,61,0,1,53,0,12,1,2,1,-161,0
11,40,1,7,47,1,2,1,2,1,-100,0
3,42,2,1,49,0,12,1,2,1,6,0
9,41,0,6,38,1,1,2,1,1,-122,1
4,50,1,11,49,2,3,1,2,0,-269,1
12,37,1,1,38,1,17,1,2,0,-870,0
6,50,1,2,34,2,4,1,2,1,-91,1
7,40,2,3,49,2,24,2,2,0,-167,1
2,36,2,9,37,2,4,1,1,1,213,0
11,37,2,12,41,1,17,1,2,0,609,1
7,22,1,6,31,2,25,-1,2,0,91,0
4,37,0,1,24,3,12,1,2,0,-530,0
3,40,2,12,56,3,24,2,1,0,876,0
11,52,1,9,39,1,1,2,2,1,113,0
2,42,0,6,33,3,25,-1,2,0,91,1
4,47,0,3,49,2,32,-2,1,1,-536,1
9,49,1,1,29,4,1,2,2,0,-374,1
7,58,0,12,41,2,17,1,2,0,709,0
11,21,3,1,33,0,3,1,2,1,-261,1
12,35,2,9,51,2,22,1,1,0,-496,1
2,40,1,3,47,2,4,1,1,1,-167,1
7,76,1,4,56,3,2,1,1,0,369,1
6,33,1,11,45,0,3,1,2,1,9,0
4,47,0,9,56,1,24,2,0,1,-156,1
11,27,2,1,44,1,24,2,0,1,-261,0
1,42,0,9,45,0,18,1,0,1,374,0
9,34,3,4,35,4,18,1,0,1,156,1
6,31,1,9,32,1,10,1,0,1,61,1
3,30,3,7,50,1,34,1,0,0,148,0
4,70,0,12,64,3,10,1,0,1,-444,0
11,41,1,1,30,2,10,1,0,0,-172,0
9,49,1,7,30,3,21,1,0,0,434,0
6,31,2,3,49,2,21,1,0,1,347,0
1,54,1,12,39,3,34,1,0,0,-151,0
4,34,1,3,24,3,10,1,0,1,-140,1
12,43,0,11,45,3,34,1,0,0,323,1
4,51,1,1,38,2,21,1,0,0,-293,1
6,42,2,7,49,0,34,1,0,0,495,1
11,55,0,3,44,0,21,1,0,1,-19,1
9,31,2,4,51,0,21,1,0,1,426,0
7,22,5,1,36,2,10,1,0,0,-301,0
12,51,2,6,24,3,10,1,0,0,-43,1
9,37,2,3,31,0,34,1,0,1,286,0
11,37,2,4,47,0,34,1,0,1,121,0
7,44,4,12,33,2,21,1,0,0,-452,0
1,45,2,6,33,2,10,1,0,1,-194,1
11,44,2,9,32,3,21,1,0,0,-305,1
4,43,1,6,39,4,25,-1,1,1,-487,1
12,36,2,9,49,2,1,2,2,1,18,0
3,46,1,1,38,1,24,2,2,0,-153,0
11,47,2,7,36,2,2,1,2,0,129,0
1,50,0,6,50,0,7,1,1,0,-194,1
3,46,2,4,49,0,24,2,1,0,140,0
9,50,1,7,64,1,1,2,1,0,434,1
3,29,2,6,52,0,24,2,1,1,-347,0
12,38,2,4,46,1,19,-1,1,0,444,1
11,50,1,1,37,3,7,1,2,0,-172,1
12,64,1,7,34,3,2,1,2,0,452,1
3,52,1,11,44,3,24,2,1,0,19,0
9,42,1,4,38,1,1,2,1,0,426,0
12,49,2,6,55,0,19,-1,2,0,-43,0
7,31,1,1,45,0,2,1,2,1,-301,0
11,43,1,9,38,1,3,1,1,1,-305,0
1,42,0,4,48,2,25,-1,2,1,293,0
7,34,1,3,46,2,2,1,1,0,-148,1
11,55,0,12,86,1,3,1,1,0,-323,0
9,37,2,6,45,0,19,-1,2,0,-61,0
1,52,1,3,34,2,7,1,1,0,153,1
4,39,2,7,17,1,25,-1,1,1,8,0
11,41,2,6,30,1,3,1,1,1,-366,0
9,42,0,1,47,3,7,1,2,1,133,1
3,55,1,12,66,0,24,2,1,0,-304,0
7,25,2,11,51,0,3,1,2,1,-129,0
4,35,1,6,52,0,18,1,2,0,-487,0
12,48,1,9,62,0,17,1,1,0,18,0
6,45,2,7,36,1,18,1,1,0,495,1
4,60,1,11,64,0,25,-1,1,0,-121,0
9,65,0,3,47,1,1,2,1,0,286,1
12,53,1,1,44,1,17,1,2,0,151,1
7,34,3,4,64,1,2,1,1,0,-8,0
11,49,1,6,49,1,18,1,2,0,-366,0
3,44,3,12,48,2,17,1,2,0,-304,0
1,35,1,9,71,3,1,2,2,0,-133,0
6,55,1,12,46,2,18,1,1,0,43,1
9,53,0,4,60,0,11,1,1,0,426,0
12,70,0,4,100,2,1,2,0,0,444,1
12,32,2,6,59,1,2,1,0,0,-43,0
9,37,3,6,38,1,18,1,2,0,-888,0
4,59,2,3,40,3,32,-2,1,0,-1112,1
1,35,3,12,51,3,4,-2,2,0,-35,1
4,49,0,11,46,2,32,-2,1,1,-1034,1
6,53,0,7,41,1,18,1,1,0,480,0
3,51,1,1,42,1,24,2,2,0,62,0
12,57,0,9,17,3,1,2,2,0,900,1
7,47,1,11,65,0,2,1,1,0,-441,0
9,31,2,1,42,1,7,1,2,1,-865,0
4,69,4,6,38,1,18,1,2,0,-1073,0
12,41,1,3,47,1,4,-2,1,1,-27,0
11,35,3,1,36,0,14,-2,2,0,-16,0
9,31,3,4,90,0,1,2,1,1,185,0
3,40,1,11,50,0,14,-2,2,1,78,1
12,48,3,6,53,2,4,-2,1,0,12,0
4,39,2,1,47,0,7,1,2,1,-1050,0
9,48,1,7,33,1,2,1,2,0,-408,1
3,34,2,6,48,2,24,2,1,0,39,0
1,43,3,12,40,3,7,1,1,0,-35,0
11,43,0,6,49,2,14,-2,1,0,-39,1
4,45,1,7,38,2,2,1,2,0,-593,1
3,45,1,9,48,2,24,2,1,0,927,1
1,48,2,7,49,1,7,1,1,0,457,0
9,46,0,11,52,2,1,2,1,1,-849,1
4,54,1,12,39,2,32,-2,1,1,-1085,1
3,38,2,7,50,0,24,2,1,0,519,0
11,56,2,12,36,2,17,1,2,0,-51,1
6,50,1,3,36,0,18,1,1,1,-39,1
4,53,1,6,41,2,32,-2,1,0,-1073,1
12,27,4,3,55,0,24,2,2,0,-27,0
9,47,1,1,62,1,1,2,2,0,-865,1
6,61,1,7,54,2,2,1,2,0,480,0
11,76,0,4,45,2,3,1,1,0,1034,1
9,51,0,12,55,2,17,1,2,1,-900,1
1,43,0,3,42,2,11,1,1,0,-62,1
4,37,2,7,33,3,32,-2,1,1,-593,1
6,55,0,11,41,3,18,1,1,0,39,1
3,44,2,9,34,4,1,2,2,1,927,0
7,68,0,12,36,5,2,1,1,0,-492,1
11,56,1,1,61,2,11,1,2,0,-16,1
4,44,1,9,57,0,32,-2,1,1,-185,0
12,45,1,6,49,1,18,1,2,1,12,0
11,41,2,3,45,1,9,2,0,1,-78,1
7,39,1,9,40,1,1,2,2,1,408,1
4,36,2,1,47,1,32,-2,2,1,-1050,1
11,56,0,12,28,1,3,1,1,1,-51,1
4,16,1,3,61,2,9,2,0,1,-1112,0
12,72,3,7,50,2,17,1,1,0,492,1
9,46,2,6,83,2,1,2,1,0,-888,1
11,68,1,7,47,4,3,1,1,1,441,0
12,41,2,4,53,2,17,1,1,1,1085,0
1,66,0,6,53,2,11,1,1,1,-23,1
11,29,3,9,54,0,3,1,1,1,849,0
9,48,0,4,40,2,1,2,1,1,185,1
7,41,1,1,34,2,4,-2,0,1,-457,1
7,29,2,4,31,1,25,-1,2,0,593,0
9,61,1,4,31,1,18,1,0,0,185,1
9,37,4,10,57,0,1,2,1,1,240,0
3,35,4,6,47,0,18,1,2,0,438,0
12,52,0,5,57,2,17,1,1,0,234,0
7,49,1,11,56,1,2,1,1,0,11,1
6,40,1,9,53,1,18,1,1,0,-76,0
10,57,1,5,62,0,6,1,2,1,-645,0
12,37,1,3,28,1,24,2,2,0,277,0
11,36,3,6,36,0,3,1,1,1,61,0
9,31,2,5,42,1,1,2,1,0,-405,0
10,49,1,12,50,0,17,1,2,1,-879,0
7,63,1,3,51,2,2,1,1,0,-366,0
9,40,2,11,33,1,3,1,2,0,15,0
12,41,1,6,65,0,17,1,1,0,715,0
7,49,1,9,51,1,1,2,2,0,-4,0
5,50,1,11,63,0,6,1,1,0,420,0
7,48,1,10,36,3,4,-2,0,0,236,1
3,41,1,9,52,1,24,2,1,0,362,1
12,35,2,11,65,0,3,1,2,0,654,0
7,50,1,5,72,1,6,1,2,1,-409,0
10,31,1,6,59,2,4,-2,0,0,-164,0
9,39,1,12,40,2,17,1,2,0,-639,1
11,27,3,10,46,1,3,1,1,0,225,0
5,71,0,3,22,3,24,2,2,0,43,1
6,59,0,9,64,1,1,2,2,0,-76,0
10,48,1,5,72,0,4,-2,0,0,-645,0
3,37,3,6,43,2,24,2,1,0,438,1
11,49,1,7,45,1,3,1,1,0,-11,1
12,59,0,5,36,2,6,1,2,0,234,1
10,54,1,9,47,1,4,-2,0,0,-240,0
7,40,0,6,37,2,2,1,1,0,72,0
5,35,3,3,61,0,6,1,1,0,43,0
6,40,0,12,37,3,18,1,1,0,-715,1
3,48,2,10,50,0,24,2,1,0,602,0
5,26,3,11,38,2,3,1,2,0,420,0
10,60,1,7,46,0,2,1,2,0,-236,0
12,45,1,3,51,0,17,1,1,0,277,1
11,51,0,9,32,5,14,-2,2,0,-15,1
6,28,4,5,46,1,18,1,1,0,-481,0
7,56,0,12,50,1,17,1,2,0,-643,1
11,34,1,10,25,2,14,-2,2,1,225,1
7,25,2,9,39,1,2,1,1,0,-4,0
11,51,0,3,50,1,3,1,1,0,-377,0
9,21,2,12,32,1,14,-2,1,1,-639,0
7,42,1,5,41,2,2,1,1,0,-409,1
10,37,2,6,66,2,18,1,2,1,-164,0
12,47,1,11,55,0,17,1,1,1,654,0
9,45,0,3,49,2,14,-2,1,0,-362,1
6,51,1,7,63,0,18,1,1,0,-72,0
3,28,2,10,44,1,14,-2,2,0,602,0
7,63,0,12,59,4,2,1,1,0,-643,1
6,44,2,5,55,3,16,1,2,0,-481,0
11,46,1,3,37,1,9,2,0,0,-377,0
12,52,0,10,44,1,14,-2,2,1,879,0
9,49,3,5,70,1,16,1,2,0,-405,0
6,48,2,11,48,1,18,1,1,0,-61,1
3,43,2,7,49,2,9,2,0,0,366,0
5,23,3,7,31,5,2,1,2,0,409,0
11,43,1,6,46,1,24,2,0,0,61,1
5,38,2,11,46,2,24,2,0,0,420,0
11,59,0,7,59,0,2,1,2,1,-11,1
9,40,2,4,42,2,1,2,1,0,-582,0
3,48,1,12,73,2,17,1,2,0,120,0
7,57,1,6,71,2,18,1,2,0,110,0
1,51,1,11,60,1,3,1,2,0,296,0
6,65,2,4,75,1,32,-2,2,0,-20,0
1,51,2,3,63,4,12,1,1,0,90,1
9,59,3,11,57,0,3,1,2,0,-501,0
12,51,3,7,42,2,2,1,2,0,-85,0
9,90,0,3,53,2,1,2,1,0,-707,0
6,49,1,11,50,2,18,1,1,0,61,0
1,56,1,7,65,1,2,1,2,0,125,1
12,76,0,4,58,2,17,1,1,0,5,1
6,50,1,3,62,2,18,1,1,0,-145,1
9,71,2,7,57,2,1,2,1,0,-672,1
1,49,0,6,53,1,12,1,1,0,235,0
12,53,0,11,42,3,17,1,1,1,86,1
4,70,1,1,37,3,4,-2,2,0,-215,1
6,53,1,12,74,0,18,1,1,0,-25,0
3,31,2,7,44,2,2,1,2,0,35,0
4,28,1,11,41,3,3,1,2,0,81,1
9,44,0,1,44,2,12,1,2,1,-797,0
12,52,2,3,52,3,24,2,2,0,-120,1
11,61,4,9,23,3,1,2,2,0,501,1
7,52,1,4,56,3,2,1,1,0,90,0
11,39,3,12,44,0,3,1,1,0,-86,1
3,57,0,6,51,4,24,2,1,0,145,1
4,52,1,9,52,0,4,-2,1,0,582,0
11,39,1,1,43,1,12,1,2,1,-296,1
7,43,0,6,53,0,2,1,1,0,110,0
4,57,0,3,60,2,4,-2,1,0,-125,1
7,44,1,9,46,3,2,1,1,0,672,1
3,62,1,1,81,0,24,2,2,0,-90,1
4,57,1,6,58,2,18,1,2,0,20,0
12,51,0,9,40,1,26,1,1,0,587,0
7,50,1,4,43,1,4,-2,2,0,90,0
3,61,1,11,64,0,3,1,2,1,206,0
9,56,0,6,52,2,1,2,1,0,-562,1
1,51,2,12,36,2,26,1,2,0,210,0
11,41,2,7,56,1,3,1,1,0,-171,1
1,64,1,12,33,2,12,1,1,1,210,1
9,47,1,6,47,2,18,1,2,0,-562,1
3,39,2,11,52,1,24,2,1,1,206,0
4,59,1,1,58,2,12,1,2,1,-215,0
6,59,1,12,59,2,26,1,2,0,-25,1
3,47,2,7,63,2,24,2,1,0,35,0
11,32,1,4,53,0,4,-2,2,0,-81,0
9,54,0,1,59,1,1,2,2,0,-797,0
12,48,3,7,68,0,26,1,1,0,-85,0
1,69,1,6,52,2,18,1,2,0,235,0
9,63,3,12,58,1,1,2,1,0,-587,1
7,44,2,11,56,1,2,1,1,0,171,1
3,43,1,4,45,0,24,2,1,0,125,1
1,50,1,7,56,1,12,1,1,1,125,1
11,68,0,6,70,1,3,1,1,1,-61,0
3,49,2,9,59,1,24,2,1,1,707,1
12,32,3,4,35,3,4,-2,2,0,5,0
11,47,3,4,34,3,1,2,0,0,-81,0
6,53,3,1,52,1,18,1,2,0,-235,1
11,47,0,6,69,1,18,1,2,0,-61,1
11,45,1,4,37,1,1,2,0,0,-81,0
7,35,2,4,17,1,32,-2,2,0,596,0
11,58,0,6,47,1,18,1,2,0,-225,0
3,47,2,9,48,3,1,2,2,0,-114,1
12,35,1,1,64,0,12,1,2,0,135,1
3,45,1,4,62,1,24,2,1,1,-117,0
6,54,2,12,53,2,18,1,1,0,182,1
9,52,0,7,60,1,2,1,2,0,-599,1
1,36,1,11,74,0,3,1,2,1,-92,0
9,66,1,12,38,0,17,1,2,0,-138,0
6,37,2,3,46,1,24,2,2,0,434,0
11,59,0,7,34,3,3,1,1,0,-504,1
4,29,3,1,48,3,32,-2,2,0,0,1
12,54,2,3,54,1,17,1,1,0,252,1
7,51,0,1,61,0,12,1,2,0,596,0
9,42,1,4,36,3,1,2,1,0,-3,1
3,37,2,11,71,0,24,2,1,0,-209,0
7,53,0,6,66,1,2,1,1,0,279,0
4,55,0,12,47,2,32,-2,1,1,-135,1
9,30,2,11,41,2,3,1,2,0,-95,1
7,43,2,3,60,1,2,1,1,0,713,0
1,28,1,6,67,0,12,1,1,0,-317,0
11,35,1,12,38,1,17,1,2,0,-43,0
6,33,4,4,42,2,32,-2,2,0,317,0
12,50,0,9,50,1,1,2,2,0,138,0
1,60,3,4,24,4,12,1,1,0,0,0
6,42,1,3,57,2,18,1,1,0,434,0
9,57,0,1,60,0,1,2,2,0,-3,0
12,60,0,7,63,1,17,1,1,0,-461,0
6,53,1,4,44,2,18,1,1,0,317,0
3,53,2,11,41,0,3,1,2,0,-209,1
7,50,1,9,69,0,1,2,2,0,599,0
12,43,1,1,62,1,17,1,2,0,135,1
4,44,0,11,69,1,3,1,2,1,-92,0
9,59,0,3,48,0,24,2,2,1,114,1
7,44,1,6,41,3,18,1,2,0,279,1
9,52,1,1,65,1,12,1,2,0,-3,0
12,50,2,3,60,1,24,2,2,0,252,0
6,62,2,11,76,0,3,1,2,0,225,0
7,50,1,4,38,4,2,1,1,0,596,1
1,52,1,3,59,0,12,1,1,0,117,0
11,56,1,4,49,1,32,-2,2,0,92,0
7,75,1,12,71,1,2,1,1,0,461,1
6,37,1,1,55,1,18,1,2,0,317,0
9,46,1,4,40,3,32,-2,2,0,-3,1
11,53,1,1,61,0,12,1,2,0,92,0
3,61,1,7,66,1,24,2,1,1,-713,1
6,50,0,9,42,2,18,1,1,0,320,1
11,89,0,12,47,1,3,1,1,0,-43,1
4,28,1,3,59,2,32,-2,1,0,117,1
9,45,1,11,60,2,1,2,1,1,-95,1
12,41,2,6,63,1,17,1,1,0,-182,0
1,31,4,3,50,2,24,2,2,1,117,0
11,53,1,7,53,3,2,1,2,0,-504,0
4,44,1,12,75,0,17,1,2,0,-135,0
6,51,0,9,48,0,1,2,2,0,320,0
4,33,3,9,47,2,32,-2,1,1,3,0
11,54,1,3,56,0,23,-2,0,0,209,0
3,42,2,4,42,0,23,-2,0,0,-117,0
9,46,2,4,54,1,3,1,0,1,-3,1
9,51,2,4,37,2,10,1,0,0,-91,0
3,23,3,12,35,3,21,1,0,0,0,1
11,48,1,7,53,0,21,1,0,1,34,0
1,54,1,4,53,0,34,1,0,0,0,1
6,33,2,9,59,1,10,1,0,1,91,0
12,50,0,7,40,3,21,1,0,0,34,1
4,34,2,3,36,0,21,1,0,1,0,0
6,52,2,11,40,1,10,1,0,0,0,1
1,69,1,12,60,0,34,1,0,1,0,1
7,59,0,9,35,2,21,1,0,0,57,1
3,34,1,11,38,0,10,1,0,1,0,0
1,39,2,6,42,1,21,1,0,1,0,0
12,41,2,9,41,2,10,1,0,1,91,0
4,36,3,11,42,1,21,1,0,0,0,0
7,50,1,1,38,3,10,1,0,0,-34,1
3,57,1,6,59,1,34,1,0,0,0,1
9,48,2,11,56,1,34,1,0,1,-91,1
12,46,1,4,60,0,21,1,0,1,0,0
7,43,3,3,63,0,21,1,0,1,-34,0
9,57,1,1,31,3,10,1,0,1,-91,1
6,52,1,4,54,1,10,1,0,1,0,1
11,58,0,12,45,2,21,1,0,1,0,1
1,41,1,3,51,3,34,1,0,1,0,0
12,47,0,6,25,2,10,1,0,0,0,0
4,26,2,7,36,1,21,1,0,0,34,0
11,26,1,1,36,3,21,1,0,1,0,0
9,44,1,3,46,2,10,1,0,0,-91,1
7,47,0,6,43,2,34,1,0,1,-34,1
11,40,2,4,44,2,21,1,0,0,0,0
3,47,2,1,50,2,21,1,0,1,0,1
7,57,1,12,56,0,34,1,0,1,-34,0
9,51,0,6,33,2,10,1,0,0,-91,1
1,52,1,7,47,1,21,1,0,1,34,0
3,41,2,4,39,1,34,1,0,0,0,1
11,58,1,6,48,1,10,1,0,1,0,0
9,43,2,12,51,1,21,1,0,1,-91,0
4,43,2,1,31,3,10,1,0,1,0,0
12,57,2,3,53,1,21,1,0,0,0,1
6,17,4,7,44,0,10,1,0,1,34,0
1,47,1,11,58,2,21,1,0,0,0,0
4,24,5,9,52,0,34,1,0,0,91,0
6,36,2,3,36,2,10,1,0,0,0,1
12,47,1,11,52,0,21,1,0,0,0,1
7,46,1,4,48,1,21,1,0,1,-34,0
1,55,2,9,59,1,10,1,0,0,91,1
6,54,3,12,36,0,34,1,0,0,0,0
11,77,0,3,54,2,21,1,0,0,0,1
9,45,1,7,54,0,10,1,0,1,-57,1
4,44,0,6,48,0,21,1,0,1,0,1
12,53,1,1,66,1,10,1,0,0,0,0
3,22,2,9,38,0,21,1,0,0,91,0
7,30,2,11,58,1,34,1,0,0,-34,0
4,57,0,12,53,1,10,1,0,1,0,1
6,55,1,1,41,5,21,1,0,0,0,1
3,53,1,7,40,1,10,1,0,1,34,1
11,56,0,9,48,2,34,1,0,1,91,1
9,63,1,3,32,4,21,1,0,0,-91,1
11,48,2,7,32,2,10,1,0,1,34,1
3,65,0,11,49,3,10,1,0,1,0,1
9,61,1,3,41,3,21,1,0,0,-91,1
